state,type,rate,bracket,cumBracket
Kansas,joint,0.027,30000,30000
Kansas,joint,0.048,Inf,Inf
Kentucky,single,0.02,3000,3000
Kentucky,single,0.03,4000,7000
Kentucky,single,0.04,5000,12000
Kentucky,single,0.05,8000,20000
Kentucky,single,0.058,75000,95000
Kentucky,single,0.06,Inf,Inf
Kentucky,joint,0.02,3000,3000
Kentucky,joint,0.03,4000,7000
Kentucky,joint,0.04,5000,12000
Kentucky,joint,0.05,8000,20000
Kentucky,joint,0.058,75000,95000
Kentucky,joint,0.06,Inf,Inf
Louisiana,single,0.02,12500,12500
Louisiana,single,0.04,50000,62500
Louisiana,single,0.06,Inf,Inf
Louisiana,joint,0.02,25000,25000
Louisiana,joint,0.04,1.00E+05,125000
Louisiana,joint,0.06,Inf,Inf
Maine,single,0.065,20900,20900
Maine,single,0.0795,Inf,Inf
Maine,joint,0.065,41850,41850
Maine,joint,0.0795,Inf,Inf
Maryland,single,0.02,1000,1000
Maryland,single,0.03,2000,3000
Maryland,single,0.04,3000,6000
Maryland,single,0.0475,1.00E+05,106000
Maryland,single,0.05,125000,231000
Maryland,single,0.0525,150000,381000
Maryland,single,0.055,250000,631000
Maryland,single,0.0575,Inf,Inf
Maryland,joint,0.02,1000,1000
Maryland,joint,0.03,2000,3000
Maryland,joint,0.04,3000,6000
Maryland,joint,0.0475,150000,156000
Maryland,joint,0.05,175000,331000
Maryland,joint,0.0525,225000,556000
Maryland,joint,0.055,3.00E+05,856000
Maryland,joint,0.0575,Inf,Inf
Massachusetts,single,0.052,Inf,Inf
Massachusetts,joint,0.052,Inf,Inf
Michigan,single,0.0425,Inf,Inf
Michigan,joint,0.0425,Inf,Inf
Minnesota,single,0.0535,24680,24680
Minnesota,single,0.0705,81080,105760
Minnesota,single,0.0785,152540,258300
Minnesota,single,0.0985,Inf,Inf
Minnesota,joint,0.0535,36080,36080
Minnesota,joint,0.0705,143350,179430
Minnesota,joint,0.0785,254240,433670
Minnesota,joint,0.0985,Inf,Inf
Mississippi,single,0.03,5000,5000
Mississippi,single,0.04,10000,15000
Mississippi,single,0.05,Inf,Inf
Mississippi,joint,0.03,5000,5000
Mississippi,joint,0.04,10000,15000
Mississippi,joint,0.05,Inf,Inf
Missouri,single,0.015,1000,1000
Missouri,single,0.02,2000,3000
Missouri,single,0.025,3000,6000
Missouri,single,0.03,4000,10000
Missouri,single,0.035,5000,15000
Missouri,single,0.04,6000,21000
Missouri,single,0.045,7000,28000
Missouri,single,0.05,8000,36000
Missouri,single,0.055,9000,45000
Missouri,single,0.06,Inf,Inf
Missouri,joint,0.015,1000,1000
Missouri,joint,0.02,2000,3000
Missouri,joint,0.025,3000,6000
Missouri,joint,0.03,4000,10000
Missouri,joint,0.035,5000,15000
Missouri,joint,0.04,6000,21000
Missouri,joint,0.045,7000,28000
Missouri,joint,0.05,8000,36000
Missouri,joint,0.055,9000,45000
Missouri,joint,0.06,Inf,Inf
Montana,single,0.01,2800,2800
Montana,single,0.02,4900,7700
Montana,single,0.03,7400,15100
Montana,single,0.04,10100,25200
Montana,single,0.05,13000,38200
Montana,single,0.06,16700,54900
Montana,single,0.069,Inf,Inf
Montana,joint,0.01,2800,2800
Montana,joint,0.02,4900,7700
Montana,joint,0.03,7400,15100
Montana,joint,0.04,10100,25200
Montana,joint,0.05,13000,38200
Montana,joint,0.06,16700,54900
Montana,joint,0.069,Inf,Inf
Nebraska,single,0.0246,3000,3000
Nebraska,single,0.0351,18000,21000
Nebraska,single,0.0501,29000,50000
Nebraska,single,0.0684,Inf,Inf
Nebraska,joint,0.0246,6000,6000
Nebraska,joint,0.0351,36000,42000
Nebraska,joint,0.0501,58000,1.00E+05
Nebraska,joint,0.0684,Inf,Inf
Nevada,single,0,Inf,Inf
Nevada,joint,0,Inf,Inf
New Hampshire,single,0.05,Inf,Inf
New Hampshire,joint,0.05,Inf,Inf
New Jersey,single,0.014,20000,20000
New Jersey,single,0.0175,35000,55000
New Jersey,single,0.035,40000,95000
New Jersey,single,0.05525,75000,170000
New Jersey,single,0.0637,5.00E+05,670000
New Jersey,single,0.0897,Inf,Inf
New Jersey,joint,0.014,20000,20000
New Jersey,joint,0.0175,50000,70000
New Jersey,joint,0.0245,70000,140000
New Jersey,joint,0.035,80000,220000
New Jersey,joint,0.05525,150000,370000
New Jersey,joint,0.0637,5.00E+05,870000
New Jersey,joint,0.0897,Inf,Inf
New Mexico,single,0.017,5500,5500
New Mexico,single,0.032,11000,16500
