"age" "gross" "net" "pens" "ss" "tspT_bal" "tspR_bal" "tradIRA_bal" "rothIRA_bal" "hsa_bal" "tax_bal" "avail" "efc" "mortgage"
"50" 88 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 2549007.78854364 0 0 2549007.78854364 4526.31145526469 0
"51" 89 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 2658121.09545262 0 0 2658121.09545262 4526.31145526469 0
"52" 90 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 2772690.06770704 0 0 2772690.06770704 4526.31145526469 0
"53" 91 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 2892987.48857419 0 0 2892987.48857419 4526.31145526469 0
"54" 92 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 3019299.78048469 0 0 3019299.78048469 4526.31145526469 0
"55" 93 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 3151927.68699072 0 0 3151927.68699072 4526.31145526469 0
"56" 94 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 3291186.98882206 0 0 3291186.98882206 4526.31145526469 0
"57" 95 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 3437409.25574496 0 0 3437409.25574496 4526.31145526469 0
"58" 96 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 3590942.636014 0 0 3590942.636014 4526.31145526469 0
"59" 97 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 3752152.68529649 0 0 3752152.68529649 4526.31145526469 0
"60" 98 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 3921423.23704311 0 0 3921423.23704311 4526.31145526469 0
"61" 99 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 4099157.31637707 0 0 4099157.31637707 4526.31145526469 0
"62" 100 45000 43281.3888112576 11445.3022874244 16090.8096 0 0 0 4285778.09967772 0 0 4285778.09967772 4526.31145526469 0
